Area Name	Place Name	Location	Place Pop	Area Pop	What	In Dict
Yuba City		CA		116719	Urbanized Area	n
	Yuba City	CA	64925		city 	p
Lynchburg		VA		116636	Urbanized Area	n
	Lynchburg	VA	75568		city 	n
Monroe		LA		116533	Urbanized Area	Y
	Monroe	LA	48815		city 	Y
Billings		MT		114773	Urbanized Area	Y
	Billings	MT	104170		city 	Y
Boulder		CO		114591	Urbanized Area	Y
	Boulder	CO	97385		city 	Y
Bellingham		WA		114473	Urbanized Area	n
	Bellingham	WA	80885		city 	n
Seaside/Monterey		CA		114237	Urbanized Area	p
	Seaside	CA	33025		city 	y
	Monterey	CA	27810		city 	n
Kailua (Honolulu County)/Kaneohe		HI		113682	Urbanized Area	n
	Kailua (Honolulu County)	HI	38635		CDP 	p
	Kaneohe	HI	34597		CDP 	n
Waterloo		IA		113418	Urbanized Area	Y
	Waterloo	IA	68406		city 	Y
Lady Lake/The Villages		FL		112991	Urbanized Area	y
	The Villages	FL	51442		CDP 	y
	Lady Lake	FL	13926		town 	y
Dover		DE		110769	Urbanized Area	Y
	Dover	DE	36047		city 	Y
St. Cloud		MN		110621	Urbanized Area	y
	St. Cloud	MN	65842		city 	y
Abilene		TX		110421	Urbanized Area	Y
	Abilene	TX	117063		city 	Y
Waldorf		MD		109919	Urbanized Area	Y
	Waldorf	MD	67752		CDP 	Y
Mayagüez		PR		109572	Urbanized Area	n
	Mayagüez	PR	70463		zona urbana 	n
Burlington		VT		108740	Urbanized Area	Y
	Burlington	VT	42417		city 	Y
Bloomington		IN		108657	Urbanized Area	n
	Bloomington	IN	80405		city 	n
Pottstown		PA		107682	Urbanized Area	n
	Pottstown	PA	22377		borough 	n
Rochester		MN		107677	Urbanized Area	Y
	Rochester	MN	106769		city 	Y
El Centro/Calexico		CA		107672	Urbanized Area	n
	El Centro	CA	42598		city 	n
	Calexico	CA	38572		city 	n
Iowa City		IA		106621	Urbanized Area	y
	Iowa City	IA	67862		city 	y
Kingsport		TN/VA		106571	Urbanized Area	n
